id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
12553,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,,CARD;FLAG;,1901-1560,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,39
12562,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2170,,,1900-02-28,Cunard Line,,,,complete,2,110
12596,,,,UNKNOWN,,,,,,,,1900-04-18,Pacific Mail Steamship Company,,,,complete,4,20
12621,,,,UNKNOWN,,,,,,,,1900-04-23,Cunard Line,,Dollars,$,complete,2,102
12622,,,,UNKNOWN,,,,,,,,1900-04-23,Cunard Line,,Dollars,$,complete,2,102
12645,,,,UNKNOWN,,,,,,,,1900-02-25,Hamburg Amerika Linie,,,,complete,4,28
12647,,,,UNKNOWN,,,,,,,,1900-02-26,Cunard Line,,Shillings,s,complete,2,92
12648,,,,UNKNOWN,,,,,,,,1900-02-26,Cunard Line,,Shillings,s,complete,2,96
12650,,,,UNKNOWN,,,,,,,,1900-02-26,Red Star Line,,,,complete,2,16
12651,,,,UNKNOWN,,,,,,,,1900-02-26,Red Star Line,,,,complete,2,17
12652,,,,UNKNOWN,,,,,,,,1900-02-26,Red Star Line,,,,complete,2,16
12653,,,,UNKNOWN,,,,,,,,1900-02-26,Red Star Line,,Francs,FF,complete,2,51
12657,,,,UNKNOWN,,,,,,,,1900-03-11,Cunard Line,,Shillings,s,complete,2,96
12669,,,,UNKNOWN,,,,,,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,37
12670,,,,UNKNOWN,,,,,,,,1901-06-06,Oceanic Steamship Company,,,,complete,2,50
12673,,,,UNKNOWN,,,,,,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,40
12710,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD BARBAROSSA,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4132,,,1900-08-22,Nippon Yusen Kaisha,,,,complete,2,14
12711,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD BARBAROSSA,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4134,,,1900-08-22,Nippon Yusen Kaisha,,,,complete,2,18
12713,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,ABOARD SS KOBE,BROADSHEET; ILLUS; COL; 10.5X9.5;,,"HAND WRITTEN; ILLUS, YOUTHS IN JAPANESE COSTUME, CARRYING FLOAT;  REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;",1900-4148,,,1900-08-24,Nippon Yusen Kaisha,,,,complete,2,15
12715,,TOYO KISEN KAISHA,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,COMPLIMENTARY/TESTIMONIAL,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4856,,,1900-11-02,Toyo Kisen Kaisha,,,,complete,2,44
12725,,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3284,,,1900-05-15,Pacific Mail Steamship Company,,,,complete,2,19
12726,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3285,,,1900-05-15,Pacific Mail Steamship Company,,,,complete,2,21
12740,,CUNARD LINE,BREAKFAST,COMMERCIAL,SS ETRURIA,CARD;ILL;COL;4.25X6.5;,DAILY;,FLAG WITH LION UPPER LEFT;WINE LIST ON BACK;,1900-1182,,,1900-02-21,Cunard Line,,,,complete,2,95
12749,,CUNARD LINE,DINNER,COMMERCIAL,R.M.S. LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2919,,,1900-04-23,Cunard Line,,,,complete,2,97
12767,,CUNARD LINE,LUNCHEON,COMMERCIAL,R.M.S. LUCANIA,CARD; ILLUS; COL; 4.25X6.5;,,"STEAMSHIP FLAG AT TOP OF MENU; PRICED WINE, LIQUOR & TOBACCO LIST ON BACK OF MENU;",1900-2962,,,1900-04-25,Cunard Line,,,,complete,2,97
12768,,RED STAR LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. SOUTHWARK,CARD; ILLUS; 5 X 8;,,HANDWRITTEN; MARINE SCENE OF STEAMER AND LIFEBOAT; PRICED WINE LIST ON BACK WITH EXCHANGE RATES FROM FRENCH CURRENCY;,1900-2186,,,1900-02-27,Red Star Line,,Dollars,$,complete,2,53
12769,,RED STAR LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,CARD; ILLUS; 5 X 8;,,HANDWRITTEN;  MARINE SCENE OF STEAMER AND SAILING SHIPS;,1900-2188,,,1900-02-28,Red Star Line,,Dollars,$,complete,2,17
12771,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.25 X 6.5;,,WINE LIST ON BACK PRICED IN BRITISH CURRENCY;,1900-2192,,,1900-02-27,Cunard Line,,Shillings,s,complete,2,108
12776,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPMER EXPRESS STEAMER AUGUSTE VICTORIA,CARD; ILLUS; 5 X 8;,,MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF WOMAN IN CLASSICAL DRESS HOLDING SHIELD WITH LETTERS H.A.P.A.G; FRUIT; STEAMER;,1900-2426,,,1900-03-14,Hamburg Amerika Linie,,,,complete,2,20
12778,,CUNARD LINE,DINNER,COMMERCIAL,RMS CAMPANIA,CARD; 4.25X6.75; ILLUS; COL;,,"ILLUS, RED FLAG WITH BRITISH LION HOLDING GLOBE OF THE WORLD; PRICED WINE LIST;",1900-1002,,,1900-02-12,Cunard Line,,,,complete,2,88
12780,,HAMBURG-AMERIKA LINIE,DAILY MENU,COMMERCIAL,SCHNELLDAMPFER AUGUSTE VICTORIA,CARD; ILLUS; COL; 9X7;,,GERMAN & FRENCH; CONCERT PROGRAM INCLUDED; HARBOUR SCENE ON FRONT OF MENU;,1900-1011,,,1900-02-12,Hamburg Amerika Linie,,,,complete,2,26
12790,,PENNSYLVANIA RAILROAD,PERSONALLY CONDUCTED TOUR THROUGH MEXICO AND CALFIORNIA - BREAKFAST,COMMERCIAL,PULLMAN SERVICE EN ROUTE,BROADSIDE; COL; 5.25X7.25;,,,1900-1031,,,1900-02-13,Pennsylvania Railroad,,,,complete,2,26
12809,,CUNARD LINE,LUNCHEON,COMMERCIAL,R.M.S. LUCANIA,CARD; 4.25X6.5;,,BEVELED EDGES GOLD TIPPED; RED FLAG WITH LION WEARING CROWN AND HOLDING GLOBE; PRICED WINE LIST;,1900-2692,,,1900-04-07,Cunard Line,,,,complete,2,98
12821,,CUNARD LINE,BREALFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,,LOGO; WINE LIST PRICED IN BRITISH CURRENCY ON BACK;,1900-2989,,,1900-04-26,Cunard Line,,Dollars,$,complete,2,102
12866,,CUNARD LINE,DINNER,COMMERCIAL,R.M.S. LUCANIA,CARD; 4.25X6.5;,,BEVELED EDGES GOLD TIPPED; RED FLAG WITH LION WEARING CROWN AND HOLDING GLOBE; PRICED WINE LIST;,1900-2693,,,1900-04-07,Cunard Line,,Dollars,$,complete,2,94
12892,,RED STAR LINE,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S. SOUTHWARK,CARD; ILLUS; 5 X 8;,,GARLAND OF COOKS; FOOD; COOKING UTENSILS' HANDWRITTEN;,1900-2008,,,1900-02-18,Red Star Line,,,,complete,2,16
12909,,RED STAR LINE,LUNCH,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,ALL HANDWRITTEN;,1900-1050,,,1900-02-13,Red Star Line,,,,complete,2,22
12921,,CUNARD LINE,DINNER,COMMERCIAL,ABOARD R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,BRITISH AND AMERICAN FLAGS; PRICED WINE LIST IN BRITISH CURRENCY;,1900-2022,,,1900-02-22,Cunard Line,,Shillings,s,complete,2,99
12922,,RED STAR LINE,LUNCH,COMMERCIAL,S.S. SOUTHWORK,BROADSIDE; ILLUS; COL; 5X8;,,HANDWRITTEN IN VIOLET INK; DECORATIVE VINES;,1900-2025,,,1900-02-22,Red Star Line,,,,complete,2,17
12924,,RED STAR LINE,DINNER,COMMERCIAL,S.S. SOUTHWORK,BROADSHEET; ILLUS; COL; 5X8;,,FRENCH & ENGLISH; PRICED WINE LIST ON BACK OF MENU; MARITIME ILLUSTRATION AT TOP OF MENU;,1900-2028,,,1900-02-22,Red Star Line,,Dollars,$,complete,2,50
12926,,RED STAR LINE,BREAKFAST,COMMERCIAL,S.S. SOUTHWORK,BROADSIDE; ILLUS; COL; 5X8;,,HANDWRITTEN IN VIOLET INK; MARITIME SCENE AT TOP OF MENU;,1900-2030,,,1900-02-22,Red Star Line,,,,complete,2,15
12983,,TAMPA BAY HOTEL,LUNCHEON,COMMERCIAL,"TAMPA, FLORIDA",BROADSIDE; 4.5 X 7.25;,DAILY,,1900-2484,,,1900-03-15,Tampa Bay Hotel,,,,complete,2,51
12993,,PENNSYLVANIA RAILROAD,PERSONALLY CONDUCTED TOUR THROUGH MEXICO & CALIFORNIA,COMMERCIAL,"PULLMAN, EN ROUTE",CARD; 5.25X7;,,,1900-1086,,,1900-02-15,Pennsylvania Railroad,,,,complete,2,26
12996,,RED STAR LINE,DINNER,COMMERCIAL,SS WESTERNLAND,BROADSHEET; ILLUS; COL; 5.25X8;,,HANDWRITTEN; INCLUDES PRICED WINE LIST; DUTCH MARINE SCENE AT TOP OF MENU;,1900-1091,,,1900-02-15,Red Star Line,,Francs,FF,complete,2,52
13007,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COM,SS CITY OF RIO DE JANEIRO,FOLDER; 5.5X8.5;,DAILY,,1900-3082,,,1900-05-03,Pacific Mail Steamship Company,,,,complete,4,26
13014,,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COM,SS CITY OF RIO DE JANEIRO,BROADSIDE; 5.75X8.75,DAILY,,1900-3097,,,1900-05-04,Pacific Mail Steamship Company,,,,complete,2,17
13015,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COM,SS CITY OF RIO DE JANEIRO,FOLDER; 5.75X8.75,DAILY,"2 COPIES; ""CITY OF RIO DE JANIERO"" PRINTED ON SECOND COPY;",1900-3099,,,1900-05-04,Pacific Mail Steamship Company,,,,complete,4,31
13025,,CUNARD LINE,MENU,COMMERCIAL,R.M.S. ETRURIA,CARD; ILLUS; COL; 4.5X6.25;,,STEAMSHIP CO. PRICED WINE LIST ON BACK;,1900-2263,,,1900-03-03,Cunard Line,,,,complete,2,87
13029,,CUNARD LINE,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,CARD; ILLUS; COL; 4.25X6.5;,,STEAMSHIP CO. PRICED WINE LIST ON BACK; COMPANY FLAG AT TOP OF MENU;,1900-2273,,,1900-03-04,Cunard Line,,,,complete,2,83
13030,,CUNARD LINE,DINNER,COMMERCIAL,R.M.S. ETRURIA,CARD; ILLUS; COL; 4.25X6.5;,,STEAMSHIP CO. PRICED WINE LIST ON BACK; COMPANY FLAG AT TOP OF MENU;,1900-2275,,,1900-03-04,Cunard Line,,Shillings,s,complete,2,94
13052,,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD THE R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,SMALL FLAG LOGO; WINE LIST PRICED IN BRITISH CURRENCY ON REAR OF MENU;,1900-2066,,,1900-02-23,Cunard Line,,,,complete,2,72
13066,,RED STAR LINE,BREAKFAST,COMMERCIAL,SS WESTERNLAND,BROADSIDE; ILLUS; COL; 5X8;,,MARINE SKETCH AT TOP OF MENU;,1900-1116,,,1900-02-16,Red Star Line,,,,complete,2,17
13067,,RED STAR LINE,LUNCH,COMMERCIAL,SS WESTERNLAND,BROADSIDE; ILLUS; COL; 5X8;,,DECORATIVE BORDER;,1900-1117,,,1900-02-16,Red Star Line,,,,complete,2,21
13075,,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA, FLORIDA",BROADSIDE; ILLUS; COL; 5 X 7;,DAILY;,,1900-2104,,,1900-02-24,Tampa Bay Hotel,,,,complete,2,47
13080,,CUNARD LINE,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,CARD;ILL;COL;4.25X6.5;,DAILY;,PRICED WINE LIST ON BACK;,1900-2112,,,1900-02-25,Cunard Line,,Shillings,s,complete,2,91
13081,,RED STAR LINE,LUNCH,COMMERCIAL,RMS OCEANIC,CARD;ILL;COL;3.25X5;,DAILY;,RED FLAG WITH WHITE STAR ON TOP CENTER;MONOGRAM;,1900-2114,,,1900-02-25,Red Star Line,,,,complete,2,28
13083,,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS CAMPANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,RED FLAG WITH LION ON UPPER LEFT;PRICED WINE LIST ON BACK OF CARD,1900-2118,,,1900-02-25,Cunard Line,,Shillings,s,complete,2,99
13084,,RED STAR LINE,LUNCH,COMMERCIAL,RMS OCEANIC,FOLDER;ILL;4.5X6.25;,,OCEANIC OF 1871 PICTURED ON FRONT COVER;,1900-2121,,,1900-02-25,Red Star Line,,,,complete,4,24
13085,,RED STAR LINE,BREAKFAST,COMMERCIAL,SS SOUTHWAREZ,CARD;ILL;COL;5X8;,DAILY;,HANDWRITTEN MECHANICALLY REPRODUCED;SHIPS AT SEA WITH BIRDS;MENU HANDWRITTEN IN GERMAN ON BACK;,1900-2129,,,1900-02-25,Red Star Line,,,,complete,2,33
13086,,RED STAR LINE,LUNCH,COMMERCIAL,SS SOUTHWAREZ,CARD;ILL;COL;5X8;,DAILY;,"HANDWRITTEN MECHANICALLY REPRODUCED;NAKEN CHILD WITH BIB EATING;GARLAND OF FACES,UTENSILS,ETC.AROUND CARD;MENU HANDWRITTEN IN GERMAN ON BACK;",1900-2130,,,1900-02-25,Red Star Line,,,,complete,2,34
13087,,RED STAR LINE,DINNER,COMMERCIAL,SS SOUTHWAREZ,CARD;ILL;COL;5X8;,DAILY;,HANDWRITTEN MECHANICALLY REPRODUCED;SHIPS AT SEA WITH MEN IN ROW BOAT IN FRONT OF CITY;PRICED WINE LIST ON BACK,1900-2131,,,1900-02-25,Red Star Line,,Francs,FF,complete,2,57
13097,,PENNSYLVANIA RAILROAD,BREAKDAST,COMMERCIAL,EN ROUTE ABOARD DINING CARS,CARD; 4.75 X 6.25;,,PRIX FIXE MENU; LOGO;,1900-3173,,,1900-05-08,Pennsylvania Railroad,,,,complete,2,39
13098,,PENNSYLVANIA RAILROAD,DINNER,COMMERCIAL,EN ROUTE ABOARD DINING CARS,CARD; COL; 4.75 X 6.25;,,PRIX FIXE MENU; BLUE WASH; LOGO;,1900-3174,,,1900-05-08,Pennsylvania Railroad,,,,complete,2,22
13099,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,EN ROUTE ABOARD CITY OF RIO DE JANEIRO,BROADSIDE; 5.5 X 8.5;,,HANDWITTEN; ORNAMENTAL BORDER;,1900-3177,,,1900-05-08,Pacific Mail Steamship Company,,,,complete,2,19
13101,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,FLAG LOGO; PRICED WINE LIST IN BRITISH CURRENCY;,1900-2296,,,1900-03-05,Cunard Line,,,,complete,2,100
13102,,CUNARD LINE,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,FLAG LOGO; PRICED WINE LIST IN BRITISH CURRENCY;,1900-2297,,,1900-03-05,Cunard Line,,,,complete,2,128
13103,,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,CARD; ILLUS; 4.25 X 6.5;,,FLAG LOGO; PRICED WINE LIST IN BRITISH CURRENCY;,1900-2298,,,1900-03-05,Cunard Line,,Shillings,s,complete,2,94
13104,,,,UNKNOWN,,,,,,,,1900-03-05,Cunard Line,,Shillings,s,complete,2,101
13110,,RED STAR LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,CARD; ILLUS; 5 X 8;,,HANDWRITTEN; MARINE SCENE;,1900-2318,,,1900-03-06,Red Star Line,,,,complete,2,17
13114,,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA, FLORIDA",BROADSIDE; ILLUS; COL; 5 X 7;,,,1900-2331,,,1900-03-07,Tampa Bay Hotel,,,,complete,2,51
13123,,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS CAMPANIA,CARD; ILLUS; COL; 4.25X6;,,INCLUDES PRICED WINE LIST ON BACK OF MENU; STEAMSHIP FLAG AT TOP OF MENU;,1900-1119,,,1900-02-16,Cunard Line,,Shillings,s,complete,2,113
13124,,,,UNKNOWN,,,,,,,,1900-02-16,Cunard Line,,Shillings,s,complete,2,109
13125,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPFER EXPRESS STEAMER COLUMBIA,CARD; 5 X 8; ILLUS;,,"MENU IN GERMAN AND ENGLISH; ILLUSTRAION OF SHIP, WOMAN IN CLASSIC ROMAN(?) DRESS HOLDING SHIELD WITH INITIALS H. A. P. A. G.;",1900-1122,,,1900-02-17,Hamburg Amerika Linie,,,,complete,2,29
13129,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.5 X 7.25;,,LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2776,,,1900-04-13,Cunard Line,,Shillings,s,complete,2,104
13221,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,"2ND CABIN, SS SONOMA",CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1692,,,1901-06-20,Oceanic Steamship Company,,,,complete,2,27
13222,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1693,,,1901-06-20,Oceanic Steamship Company,,,,complete,2,38
13264,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; 5.5 X 7.75;,DAILY,HANDWRITTEN; RED BORDER;,1900-4707,,,1900-10-15,Nippon Yusen Kaisha,,,,complete,2,16
13269,,OCEANIC STEAMSHIP CO.,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD S.S. ZEALANDIA,CARD; 5.25 X 7;,,"HANDWRITTEN, LOGO;",1901-2089,,,1901-08-03,Oceanic Steamship Co.,,,,complete,2,31
13275,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,SS SIERRA,CARD; ILLUS; COL; 5.5X6.75;,,STEAMSHIP COMPANY LOGO AT TOP OF MENU; HANDWRITTEN;,1901-1711,,,1901-06-21,Oceanic Steamship Company,,,,complete,2,16
13319,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS KASUPA,BROADSIDE; ILLUS;COL; 5.25 X 7.5;,DAILY MENU;,MENU HANDWRITTEN IN ENGLISH;,1900-4355,,,1900-09-13,Nippon Yusen Kaisha,,,,complete,2,16
13320,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.KOHE MARU,BROADSHEET;5.5X7.75;,DAILY MENU;,HANDWRITTEN;,1900-4364,,,1900-09-14,Nippon Yusen Kaisha,,,,complete,2,21
13413,,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,ENROUTE - SS HGAIRGA,BROADSHEET;ILLUS IN COLOR;  JAPANESE SCENES; 10 X 9.5;,DINNER,MAP OF ROUTE FROM LONDON TO JAPAN ON BACK OF MENU; MENU HANDWRITTEN IN ENGLISH;,1900-3983,,,1900-08-02,Nippon Yusen Kaisha,,,,complete,2,17
13416,,OCEANIC STEAMSHIP COMPANY,BREAKFAST - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,CARD;ILLUS; COL; 5.5 X 8.5;,,CARD; LOGO; HANDWRITTEN;,1901-1561,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,22
13417,,OCEANIC STEAMSHIP COMPANY,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,FOLDER; LLUS; COL; 5 X 7.5;,,SAILING SHIP SURROUNDED BY DRAPERY;  GOLDEN GATE ON BACK; FOOD; HANDWRITTEN;,1901-1562,,,1901-06-07,Oceanic Steamship Company,,,,complete,4,29
13418,,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SIERRA,CARD;ILLUS; COL; 5.5 X 8.5;,,LOGO; HANDWRITTEN;,1901-1563,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,21
13419,,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SIERRA,CARD;ILLUS; COL; 5.5 X 8.5;,,LOGO; HANDWRITTEN;,1901-1564,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,27
13420,,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,EN ROUTE ABOARD SIERRA,CARD;ILLUS; COL; 5.5 X 8.5;,,LOGO; HANDWRITTEN;,1901-1565,,,1901-06-07,Oceanic Steamship Company,,,,complete,2,30
13431,,PACIFIC MAIL STEAMSHIP COMPANY,DINER,COMMERCIAL,SS CITY OF PARA,FOLDER; ILLUS; COL; 5.75X8.75;,,DECORATIVE BORDER;,1900-3336,,,1900-05-20,Pacific Mail Steamship Company,,,,complete,4,19
13510,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS KASUGA,BROADSIDE; ILLUS; 5.5X7.75;,,HANDWRITTEN; DECORATIVE BORDER;,1900-4186,,,1900-08-28,Nippon Yusen Kaisha,,,,complete,2,16
13523,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS KOBE MARU,BROADSIDE; 5.5 X 7.75;,DAILY MENU;,HANDWRITTEN; GREEN BORDER;,1900-4381,,,1900-09-16,Nippon Yusen Kaisha,,,,complete,2,21
13527,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS KOBE MARU,BROADSIDE; 5.5 X 7.75;,DAILY MENU;,HANDWRITTEN; RED BORDER;,1900-4397,,,1900-09-18,Nippon Yusen Kaisha,,,,complete,2,20
13566,,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS SONOMA,CARD; ILLUS; COL; 5.5X7;,,SS COMPANY FLAG AT TOP;,1901-1390,,,1901-05-22,Oceanic Steamship Company,,,,complete,2,26
